id,url,brand,discovered,confidence_level,ip,domain,sld,registrar,registration_date
PEDAS-bf8bc60352a3,https://claimgiveaway16jt.*******.biz.id/,Generic/Spear Phishing,4/13/2024 13:46,100,,*******.biz.id,biz.id,PT Jagoan Hosting Indonesia,7/2/2026
PEDAS-7dd13e6859b0,https://baitulmal.************.go.id/?MENYALAABANGKUH=slot+tanpa+potongan+pulsa,judi online,8/5/2024 9:55,100,123.108.101.18,************.go.id,go.id,Kementerian Komunikasi dan Informatika,3/5/2008
PEDAS-0fe0d926e0d2,https://fresp17icxbfrx.****.biz.id/,Garena,2/13/2024 22:45,100,104.21.43.87,****.biz.id,biz.id,PT JC Indonesia,8/20/2026
PEDAS-37db191c480d,https://wa.*******.id/,WhatsApp,5/1/2022 18:25,100,103.4.206.94,*******.id,id,PT JC Indonesia,6/13/2014
PEDAS-2d06b168bfcc,https://disketapang.********.go.id/api/?cocain=ONLINE+SLOT+EKSI,judi online,8/6/2024 0:17,100,36.64.61.158,********.go.id,go.id,Kementerian Komunikasi dan Informatika,1/17/2006
PEDAS-60cb1dcf36fd,https://prokopim.*******.go.id/venue/kantor-desa-kabuna/,-,8/3/2024 2:35,100,103.253.213.49,*******.go.id,go.id,Kementerian Komunikasi dan Informatika,4/28/2006
PEDAS-21d4a69584c6,https://*************.go.id/cpns-pa-muara-labuh-mengikuti-bimtek-kepegawaian-di-pengadilan-tinggi-agama-padang/,-,8/3/2024 15:26,100,185.184.68.130,*************.go.id,go.id,Kementerian Komunikasi dan Informatika,8/3/2012
PEDAS-344e9c62f21e,http://www.pangkalpinang.************.go.id/.well-known/pki-validation/PDN/code/?games=cheat+judi+bola+online,judi online,8/5/2024 15:38,100,45.64.98.218,************.go.id,go.id,Kementerian Komunikasi dan Informatika,5/10/2000
PEDAS-54a6d1898c81,https://sipp.***********.go.id/data/docs/temp/?infus=zipo4dslot,-,8/3/2024 16:23,100,103.55.39.38,***********.go.id,go.id,Kementerian Komunikasi dan Informatika,12/2/2009
PEDAS-cbb9cd0dbc6a,https://puskesmas-masaran1.*********.go.id/img/xgacor/?cuanbos=POLA%20BUY%20SPIN%20OLYMPUS,-,8/4/2024 3:47,100,103.172.109.10,*********.go.id,go.id,Kementerian Komunikasi dan Informatika,12/15/2006
PEDAS-2881612debfc,https://***********.id/trapstar-borsello-95693/,,3/11/2024 2:30,100,103.7.226.174,***********.id,id,PT Digital Registra Indonesia,1/27/2022
PEDAS-b1a2aaa77d81,https://kominfo.*************.go.id/lokasi/anemia/?flight=jp88,judi online,8/5/2024 22:33,100,103.55.39.178,*************.go.id,go.id,Kementerian Komunikasi dan Informatika,5/3/2013
PEDAS-9be289808525,https://*******************.id/index_tmp/2/verification-proccess/proccessing/6fr0ma0drlzc2ic0gxpekj0q.php?5FJAA3166786962097196afa8b587715572d2a6f373b1b6097196afa8b587715572d2a6f373b1b6097196afa8b587715572d2a6f373b1b6097196afa8b587715572d2a6f373b1b6097196afa8b587715572d2a6f373b1b60&Official=&AdnanSami,Wells Fargo,11/8/2022 1:07,90,,*******************.id,id,PT Digital Registra Indonesia,6/27/2019
PEDAS-8d43762b8701,https://eperizinan.****************.go.id/site/home/page/membangun-umkm-kemandirian-pangan-menekan-inflasi-kemiskinan-dengan-subsidi-harga.jsp,-,8/4/2024 6:39,100,103.18.117.9,****************.go.id,go.id,Kementerian Komunikasi dan Informatika,6/29/2006
PEDAS-dddc84b9c1b3,http://www.pangkalpinang.************.go.id/.well-known/pki-validation/PDN/code/?games=LINK+JUDI+ONLINE,judi online,8/5/2024 15:27,100,45.64.98.218,************.go.id,go.id,Kementerian Komunikasi dan Informatika,5/10/2000
PEDAS-5c184587ffb6,http://www.pangkalpinang.************.go.id/.well-known/pki-validation/PDN/code/?games=judi+online+bola,judi online,8/5/2024 15:27,100,45.64.98.218,************.go.id,go.id,Kementerian Komunikasi dan Informatika,5/10/2000
PEDAS-ba3f276f290b,https://bkppd.********.go.id/,-,8/3/2024 6:49,100,192.124.249.111,********.go.id,go.id,Kementerian Komunikasi dan Informatika,5/10/2000
PEDAS-e3ed498726a0,https://*************.go.id/Raja/?link=POLA777+AKUN+PRO+IDNTOTO+DRAGIN+TIGER,-,8/4/2024 0:35,100,,*************.go.id,go.id,Kementerian Komunikasi dan Informatika,6/4/2009
