id,category
PEDAS-bf8bc60352a3,phishing
PEDAS-7dd13e6859b0,online gambling
PEDAS-0fe0d926e0d2,phishing
PEDAS-37db191c480d,phishing
PEDAS-2d06b168bfcc,online gambling
PEDAS-60cb1dcf36fd,online gambling
PEDAS-21d4a69584c6,online gambling
PEDAS-344e9c62f21e,online gambling
PEDAS-54a6d1898c81,online gambling
PEDAS-cbb9cd0dbc6a,online gambling
PEDAS-2881612debfc,violence
PEDAS-b1a2aaa77d81,online gambling
PEDAS-9be289808525,phishing
PEDAS-8d43762b8701,online gambling
PEDAS-dddc84b9c1b3,online gambling
PEDAS-5c184587ffb6,online gambling
PEDAS-ba3f276f290b,online gambling
PEDAS-e3ed498726a0,online gambling
PEDAS-b2c7b4d0d8c0,phishing
PEDAS-65ffaaf169cb,phishing
PEDAS-648956545e5e,phishing
PEDAS-2e5bd2f72555,online gambling
PEDAS-c6e3fd1147be,malware
PEDAS-16cf62d32f57,phishing
PEDAS-b879f3e9a553,online gambling
PEDAS-acb1f60add3f,online gambling
PEDAS-e865fe09cbdc,phishing
PEDAS-c1c867aa24ec,other
PEDAS-225f836cd49d,online gambling
PEDAS-1b6ba77227df,online gambling
PEDAS-7c220a2248ff,online gambling
PEDAS-2d0972c04887,online gambling
PEDAS-ce5c6a1fa605,online gambling
PEDAS-b5f048a8ff06,phishing
PEDAS-fedf3baf6422,online gambling
PEDAS-4d3bc18cf379,online gambling
PEDAS-1d33009d6aa2,online gambling
PEDAS-df71fcf65ea5,online gambling
PEDAS-1e425f81cab8,online gambling
PEDAS-713364433aed,online gambling
PEDAS-9a0d3f5d6784,phishing
PEDAS-2820f7121fe2,online gambling
PEDAS-058df19100fa,online gambling
PEDAS-cc634bd40cb3,phishing
PEDAS-040189ab04d0,online gambling
PEDAS-7495bc0f52ee,other
PEDAS-2045d7467df8,online gambling
PEDAS-9c0daca6d3db,online gambling
PEDAS-41b8be6e10d5,online gambling
PEDAS-5e31a2aad74c,online gambling
PEDAS-4d053c2a267a,online gambling
PEDAS-b258995b3892,online gambling
PEDAS-a087827d2492,online gambling
PEDAS-2546cf5aa92e,online gambling
PEDAS-49671b96c2e0,online gambling
PEDAS-fab1cfe0081b,phishing
PEDAS-fbc54dfdb322,phishing
PEDAS-c034693b4bf8,online gambling
PEDAS-419e267c1088,phishing
PEDAS-df006621cbb6,online gambling
PEDAS-761d58344ba7,online gambling
PEDAS-8046565b68dc,online gambling
PEDAS-fbdefa202e23,online gambling
PEDAS-1af5dac2001a,online gambling
PEDAS-01ba016489b2,phishing
PEDAS-9271f52d1d6a,online gambling
PEDAS-236e909eeafa,online gambling
PEDAS-0728c9879ecb,online gambling
PEDAS-24764d35fd5c,phishing
PEDAS-9572d83aded4,online gambling
PEDAS-70d54dc9b75b,online gambling
PEDAS-c7bbfdc36925,online gambling
PEDAS-53192895dc89,online gambling
PEDAS-c2c194987ece,phishing
PEDAS-112bd496ae25,brand
PEDAS-faa9721111bf,online gambling
PEDAS-e29caed7cd8b,brand
PEDAS-fba58ef34a65,online gambling
PEDAS-8d72891fcf07,online gambling
PEDAS-e17791613d84,online gambling
PEDAS-558b437328d6,online gambling
PEDAS-58e1a818a043,phishing
PEDAS-5bf4da2db2b9,online gambling
PEDAS-08099054fd7e,phishing
PEDAS-5db4fcf1208e,online gambling
PEDAS-b134a359c703,phishing
PEDAS-72dafaacb292,phishing
PEDAS-4ff6b3a5ecc0,phishing
PEDAS-8088d5593f88,online gambling
PEDAS-d8ecb862da13,online gambling
PEDAS-7dcb5dcd1a05,online gambling
PEDAS-c91ecb6cc66e,online gambling
PEDAS-c57c44a5a870,online gambling
PEDAS-ce421ce88df3,online gambling
PEDAS-9c1626393b73,phishing
PEDAS-0c2e964c4908,online gambling
PEDAS-502337e0d33f,online gambling
PEDAS-fd11b28032b9,online gambling
PEDAS-3577dee8816e,online gambling
PEDAS-ec1585f5902b,online gambling
PEDAS-512a20527be4,online gambling
PEDAS-cd57e744f079,phishing
PEDAS-20a50984e228,phishing
PEDAS-fddb797ca650,online gambling
PEDAS-df4d9248949f,online gambling
PEDAS-0a7e84f8e2b0,online gambling
PEDAS-49bf50d375ed,spam
PEDAS-1e166c3d0765,online gambling
PEDAS-1d6d6dc153fa,online gambling
PEDAS-cbd534c38e8d,online gambling
PEDAS-6d6b753f3d09,online gambling
PEDAS-102b5eb27ea9,phishing
PEDAS-145fd04057b5,phishing
PEDAS-6991841f9344,online gambling
PEDAS-56f780107201,online gambling
PEDAS-8e0c47e203ab,phishing
PEDAS-5c11426b8a1d,online gambling
PEDAS-f696c98c25ae,phishing
PEDAS-c5d44024842f,online gambling
PEDAS-e6d60f818592,other
PEDAS-04114ad83cdf,online gambling
PEDAS-9f8b2dc7c096,other
PEDAS-b3e48cb8aa93,online gambling
PEDAS-73cae49acb0e,malware
PEDAS-24b82e3563f9,phishing
PEDAS-bb7a948169ec,online gambling
PEDAS-b964ccb81dfd,online gambling
PEDAS-1d1447425094,online gambling
PEDAS-0e6090903644,online gambling
PEDAS-7eb09ba614dd,online gambling
PEDAS-6688df7ace70,online gambling
PEDAS-d55733511390,online gambling
PEDAS-17ab30986211,online gambling
PEDAS-43bd601a1444,spam
PEDAS-cbb9829ce711,phishing
PEDAS-d505ac9c990f,phishing
PEDAS-505af6e09ec0,online gambling
PEDAS-6af81a771b83,online gambling
PEDAS-617bee36f32e,phishing
PEDAS-96e28b3b9b03,phishing
PEDAS-c78d4a99821a,phishing
PEDAS-fc608af4c744,phishing
PEDAS-f4368e537511,online gambling
PEDAS-096f852debb5,online gambling
PEDAS-d14233856f45,online gambling
PEDAS-2311c63d8360,phishing
PEDAS-619a0dc51db0,phishing
PEDAS-3b94b816c688,phishing
PEDAS-f9e7eabe7439,phishing
PEDAS-de89d3fc4d40,online gambling
PEDAS-8d0d5214043a,phishing
PEDAS-aa274017eb23,online gambling
PEDAS-da7a437e0b8b,phishing
PEDAS-fe2bcaa8aefb,online gambling
PEDAS-1a32a69c13f2,online gambling
PEDAS-95210d00ea18,online gambling
PEDAS-608b71080fa1,malware
PEDAS-e9305846b116,online gambling
PEDAS-cb2704cf2558,online gambling
PEDAS-cc42e2326da8,phishing
PEDAS-7bd079b3fcc2,online gambling
PEDAS-fb3e292b5b46,online gambling
PEDAS-4bd017cda03d,other
PEDAS-4f86f6624de8,online gambling
PEDAS-c605e056f3b0,online gambling
PEDAS-d403fb9df82c,online gambling
PEDAS-eeb7af2b9ea4,phishing
PEDAS-a429c285979c,online gambling
PEDAS-9071ee3433f2,online gambling
PEDAS-5b6c944c0965,online gambling
PEDAS-7e99120ed7ff,online gambling
