url,brand,discovered,confidence_level,ip,domain,sld,category,registrar,registration_date
https://lucah3.***********.my.id/,Telegram,5/1/2024 21:52,100,,***********.my.id,my.id,phishingg,PT Web Media Technology Indonesia,5/14/2026
https://dpmptsp.*********.go.id/petapotensi/database/stores/?slot=slotnesia77,judi online,8/5/2024 20:41,100,103.162.68.84,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/11/2009
http://klikpad.bkpd.**************.go.id/klikpad/menu/home/SULTAN188/,-,6/14/2024 7:05,100,103.18.117.8,**************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,3/13/2008
https://sisumakerpublik.********************.go.id/public/svg/?google=toko4d,-,8/4/2024 6:20,100,103.113.3.225,********************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,7/28/2009
https://bappeda.**********.go.id/e-koor/storage/nenen/?listing=SLOT+GACOR+HARI+INI+DAN+POLANYA,-,8/4/2024 16:10,100,103.170.105.197,**********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,1/13/2012
http://perpus-ft.***.ac.id/index.php?p=show_detail&id=980,-,8/3/2024 3:39,100,139.99.90.119,***.ac.id,ac.id,online gambling,PT JC Indonesia,11/23/2012
*****.ac.id,,3/26/2024 0:00,100,103.89.124.46,*****.ac.id,ac.id,spam,PT Citraweb Digital Multisolusi,7/5/2000
https://sms-alert.*********.id/vacu,-,7/23/2024 15:31,100,103.146.203.123,*********.id,id,phishing,PT JC Indonesia,7/22/2019
http://desk915944.*********.biz.id/confirmaccount/,Facebook,3/13/2024 23:51,100,,*********.biz.id,biz.id,phishing,PT Registrasi Nama Domain,11/30/2025
http://www.grrupwamnjy7rg.***.my.id/view,WhatsApp,3/4/2024 3:12,100,172.67.182.245,***.my.id,my.id,phishing,PT Registrasi Neva Angkasa,5/2/2026
site:https://pustaka.********.go.id/inlislite3/anggota/?maxwen=arena168,-,7/8/2024 7:20,100,103.56.232.30,********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,1/27/2010
https://panitera.***********.go.id/cuaks/?cr2=agen-slot-online,judi online,8/5/2024 21:01,100,103.251.44.248,***********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,2/25/2009
**********.id,,5/4/2024 0:00,100,103.198.120.163,**********.id,id,spam,PT Cloud Hosting Indonesia,7/30/2019
https://baitulmal.*********.go.id/.well-known/situs/?gacor=03%20TOGEL,-,8/3/2024 0:57,100,123.108.101.18,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
https://aset.*****.net.id/dvd/miles/mandm/login.php,Other,1/10/2024 12:30,100,103.184.67.26,*****.net.id,net.id,phishing,PANDI Registrar Net ID,8/8/2022
https://gampil.******.biz.id/,Facebook,4/7/2024 19:47,100,172.67.180.182,******.biz.id,biz.id,phishing,PT Digital Registra Indonesia,6/26/2026
http://cdshzchp9no0cb.***.my.id/view/free-fire,Coda Payments,3/16/2024 15:05,100,104.21.67.236,***.my.id,my.id,phishing,PT Registrasi Neva Angkasa,5/2/2026
http://www.pangkalpinang.************.go.id/.well-known/pki-validation/PDN/code/?games=bagaimana+cara+judi+bola+online,judi online,8/5/2024 15:33,100,45.64.98.218,************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
https://ejournal.****************.ac.id/public/serf/?cartel=338bet,-,7/16/2024 2:57,100,103.28.12.52,****************.ac.id,ac.id,online gambling,PT Aksara Data Digital,12/24/2014
http://fairplans.**********.go.id/images/?gamez=LINK%20GACOR%20SIANG%20INI,-,8/2/2024 14:52,100,103.148.195.73,**********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,7/20/2008
https://pemblokiranakunyq31eno.****.biz.id/login,"Facebook, Inc.",2/13/2024 22:47,100,104.21.43.87,****.biz.id,biz.id,phishing,PT JC Indonesia,8/20/2026
https://***.id/m/Gq13ta?=https&apps_bmo=,,4/15/2024 17:35,100,103.94.189.35,***.id,id,phishing,PT Cyberindo Aditama,8/22/2017
*********.id,-,7/28/2024 2:12,100,172.67.194.27,*********.id,id,online gambling,PT Jagoan Hosting Indonesia,5/21/2026
https://dpmptsp.*********.go.id/petapotensi/database/stores/?slot=palem4d,judi online,8/5/2024 20:37,100,103.162.68.84,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/11/2009
https://hotwhatsapp18.****.my.id/,Facebook,3/3/2024 12:50,100,,****.my.id,my.id,phishing,PT Digital Registra Indonesia,6/16/2025
http://curahdami.************.go.id/assets/portgas/?running=JUDI%20SLOT%20ONLINE%20DEPOSIT%2010%20RIBU%20QRIS,-,8/3/2024 3:29,100,103.161.108.32,************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,12/18/2007
*********.id,,8/2/2024 4:00,100,,*********.id,id,other,  PT JAGAT INFORMASI SOLUSI (INT)  ,6/8/2026
https://sidamulya-wanareja.**********.go.id/wp-includes/get/?cartel=slot389,-,8/4/2024 11:46,100,104.26.8.176,**********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,10/12/2005
https://***********.sch.id/wp-content/news/?slot=jili-slot-demo,-,8/3/2024 13:42,100,172.67.203.39,***********.sch.id,sch.id,online gambling,PT Digital Registra Indonesia,1/27/2026
https://giveweyy202410jt.*******.my.id/,DANA,6/23/2024 12:00,100,,*******.my.id,my.id,phishing,  PT CLOUD HOSTING INDONESIA  ,12/29/2025
http://www.*************.go.id/2015-06-06-01-33-53/perkara-pidana-banding.html,judi online,8/6/2024 8:27,100,104.21.36.254,*************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,8/28/2009
https://*************.sch.id/system/products/?list=DEPO-50%252B50,-,7/22/2024 2:30,250,192.250.227.20,*************.sch.id,sch.id,online gambling,PT Digital Registra Indonesia,7/23/2018
https://*********.go.id/spt2024/?terbang=situs+judi+slot+online+terpercaya+2020,-,8/4/2024 0:01,100,153.92.9.38,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,12/6/2009
*******.id,,8/2/2024 4:00,100,67.223.118.153,*******.id,id,other,PT Jagat Informasi Solusi (int),1/6/2026
https://bkpsdm.*********.go.id/doflamingo/judi-vipslot188/,-,8/2/2024 10:02,100,36.67.236.155,*********.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
https://*********.id/bettingan/,-,8/4/2024 16:56,100,217.21.73.9,*********.id,id,online gambling,PT Jagat Informasi Solusi (int),7/30/2022
https://baak.*********.ac.id/wp-content/php/?maxwin68=SLOT%20JUDI%20ONLINE,-,8/4/2024 0:17,100,103.6.54.130,*********.ac.id,ac.id,online gambling,PT Digital Registra Indonesia,10/3/2016
http://www.pangkalpinang.************.go.id/.well-known/pki-validation/PDN/code/?games=JUDI+ONLINE+LUAR+NEGERI,judi online,8/5/2024 15:24,100,45.64.98.218,************.go.id,go.id,online gambling,Kementerian Komunikasi dan Informatika,5/10/2000
